purchase_no	purchaser	residence	social_status	aliquot_or_lot	section	township	range	meridian	county	acres	price_per_acre	total_price	type_of_sale	date_purchased	volume	page
0004419	HUNTER EDWARD E	UNKNOWN		E2SW	02	38N	14E	3	COOK	80.00	1.25	100.00	FD	11/15/1834	687	260
0195431	HUNTER EDWARD E	COOK		E2SW	02	38N	14E	3	COOK	80.00	1.25	100.00	FD	11/15/1834	236	044
0016746	KING JEREMIAH	UNKNOWN		SEFR	02	38N	14E	3	COOK	25.88	1.25	32.35	FD	06/05/1835	687	260
0016747	KING JOHN R	UNKNOWN		SEFR	02	38N	14E	3	COOK	25.88	1.25	32.35	FD	06/05/1835	687	260
0006892	LATHAM PHILIP C	UNKNOWN		NEFR	02	38N	14E	3	COOK	3.62	1.25	4.52	FD	06/27/1835	687	260
0011336	SMITH LIMAN	UNKNOWN		NWFR	02	38N	14E	3	COOK	140.18	1.25	175.22	FD	11/04/1834	687	260
0197359	SMITH SIMAN	COOK		NWFR	02	38N	14E	3	COOK	140.18	1.25	175.23	FD	11/04/1834	236	041
0030265	WENTWORTH ELIJAH	UNKNOWN		W2SW	02	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/02/1835	687	260
0028289	CARNEY MICHAEL	UNKNOWN		W2SE	04	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/04/1835	687	260
0001863	DAVIS THOMAS R	UNKNOWN		E2NW	04	38N	14E	3	COOK	80.31	1.25	100.39	FD	04/28/1835	687	260
0296757	DAVIS THOMAS R	MCLEAN		E2NW	04	38N	14E	3	COOK	80.31	1.25	100.39	FD	04/28/1835	236	063
0027295	DEVINPORT HUGHEA L	UNKNOWN		W2NW	04	38N	14E	3	COOK	80.31	1.25	100.39	FD	04/28/1835	687	260
0297034	DEVINPORT HUGHEA L	MCLEAN		W2NW	04	38N	14E	3	COOK	80.31	1.25	100.39	FD	04/28/1835	236	063
0023870	LEWIS LUDLOW F	UNKNOWN		SW	04	38N	14E	3	COOK	160.00	1.25	200.00	FD	08/03/1835	687	260
0003456	MURPHY JOHN	UNKNOWN		E2SE	04	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/04/1835	687	260
0026628	OSTRANDER CATHRINE	UNKNOWN	F	W2NE	04	38N	14E	3	COOK	79.46	1.25	99.32	FD	05/24/1835	687	260
0001337	REED ROBERT	UNKNOWN		E2NE	04	38N	14E	3	COOK	79.46	1.25	99.32	FD	05/24/1835	687	260
0004798	SEYMOUR HENRY	UNKNOWN		E2SW	06	38N	14E	3	COOK	80.08	3.05	244.24	FD	06/27/1835	687	260
0002537	SPENCER WILLIAM G	UNKNOWN		E2NW	06	38N	14E	3	COOK	80.20	1.35	108.26	FD	06/27/1835	687	260
0027944	SPENCER WILLIAM G	UNKNOWN		W2NW	06	38N	14E	3	COOK	80.20	1.30	104.26	FD	06/27/1835	687	260
0003699	TALCOTT ASAHELL	UNKNOWN		E2SE	06	38N	14E	3	COOK	80.00	1.35	108.00	FD	06/27/1835	687	260
0029038	TALCOTT ASAHELL	UNKNOWN		W2SE	06	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	260
0001458	THOMPSON JOHN L	UNKNOWN		E2NE	06	38N	14E	3	COOK	80.65	1.25	100.81	FD	06/27/1835	687	260
0026849	THOMPSON JOHN L	UNKNOWN		W2NE	06	38N	14E	3	COOK	80.66	1.25	100.82	FD	06/27/1835	687	260
0030200	TRADER TEGAL	UNKNOWN		W2SW	06	38N	14E	3	COOK	80.09	2.80	224.25	FD	06/27/1835	687	260
